"caso" "rendimiento" "pp" "temp" "fertP" "fertZ"
"48" 16.6 130.3 31.8055555555556 19.2235 9.28913931665389
"49" 14.4 123.99 40.1458333333333 19.675 11.1867509970325
"50" 19.4 126.02 30 20.21925 15.8569305456219
"51" 19.7 129.63 28.0902777777778 22.03675 7.77345973939041
"52" 20.5 131.15 25.2986111111111 22.03675 12.8060773363813
"53" 25 135.11 22.4166666666667 22.03675 9.54580136387302
"54" 23.4 129.98 24.6041666666667 22.03675 10.894222854704
"55" 18.9 128.88 29.0277777777778 23.29925 9.79241529014178
"56" 35.4 142.49 22.0902777777778 26.7415 9.69866599184459
"57" 24.7 133.83 22.7569444444444 27.969 12.1357831805662
"58" 31.6 138.16 21.4930555555556 25.812 9.08557565177836
"59" 23.3 131.45 23.5138888888889 24.537 10.984201720483
"60" 19.6 129.27 25.1527777777778 22.33 13.9130933355991
"61" 18.7 127.41 27.8819444444444 23.0635 8.5634537762387
"62" 16 129.66 28.7777777777778 22.04625 7.51191809464153
"63" 22.2 134.56 23.4236111111111 23.06375 16.3743704512738
"64" 25 137.62 25.3472222222222 24.95225 14.5297086620626
"65" 33 141.04 24.3402777777778 28.05725 15.8706158332748
"66" 23.5 132.9 21.9930555555556 21.52875 12.0776566340661
"67" 19.4 127.87 25.8611111111111 21.52875 12.0714077633679
"68" 22 128.78 24.375 21.245 13.8831125294507
"69" 17.4 125.94 27.8402777777778 21.245 14.6067633023163
"70" 20.9 128.85 24.8541666666667 21.245 14.5616293794054
"71" 24.2 134.17 23.4166666666667 18.21825 14.8675262620683
"72" 21.7 129.61 25.6111111111111 18.21825 16.6635146034681
"73" 22.8 130.65 22.5833333333333 18.21825 10.9608946335641
"74" 23.4 132.45 23.9861111111111 18.21825 11.1120230395835
"75" 24.1 132.73 23.4583333333333 15.62875 12.2183109035289
"76" 21.4 132.86 24.9583333333333 16.2565 9.53039539041786
"77" 20 132.79 27.0625 15.1305 14.6871128052089
"78" 20.8 131.4 25.8819444444444 15.22625 12.8521529783572
"79" 21.2 132.32 27.3194444444444 17.53525 11.9172903867989
"80" 20.3 128.74 25.0694444444444 16.2565 12.2218136195253
"81" 28 137.27 22.4236111111111 18.50175 21.3849173702926
"82" 23.9 136.19 23.7638888888889 18.50175 16.7701207849509
"83" 24.8 133.02 23.4166666666667 18.50175 15.5120443700428
"84" 22.9 131.67 23.9652777777778 18.50175 15.8776995884936
"85" 23.9 133.89 25.4305555555556 16.9485 12.7986549197008
"86" 26.6 136.3 23.2847222222222 16.09425 11.1921280386708
"87" 22.5 130.15 27.6805555555556 16.068 8.90555947733511
"88" 22.2 131.21 24.6111111111111 14.369 8.98123168932409
"89" 23.6 140.07 22.5694444444444 13.55425 10.5358488414761
"90" 28.7 140.79 22.7083333333333 13.53625 13.4811938491937
"91" 22.6 134.17 24.8680555555556 12.73075 13.0652957130798
"92" 22 134.05 24.4444444444444 12.73025 5.6501380714867
"93" 22.9 134.42 24.4166666666667 14.16475 9.44725067823699
"94" 25 132.11 23.0625 14.16475 11.0787755080769
"95" 20.6 132.49 26.1041666666667 14.0375 10.063365065455
"96" 28.4 136.25 23.3680555555556 13.738 11.6985069465613
"97" 21.4 131.63 26.625 13.738 12.6226587811757
"98" 38.7 150.69 21.6736111111111 13.738 14.6271299465047
"99" 43.8 148.2 21.2291666666667 13.738 11.3600035777507
"100" 33.2 144.16 23.0486111111111 13.738 12.5568418764588
"101" 27.5 137.27 25.2916666666667 11.9445 10.9424989153958
"102" 26.5 137.81 24.0763888888889 12.14025 17.1212529790109
"103" 18.6 134.05 26.1319444444444 11.78675 10.4611350365999
"104" 19.3 131.37 28.0833333333333 11.78675 13.3523715384646
"105" 20.1 131.67 27.3125 11.0525 9.98006631783681
"106" 19.5 128.51 30.1875 10.26725 14.5308850586096
"107" 19.5 128.36 31.7083333333333 10.5275 11.3425468976951
"108" 20.4 131.27 28.5347222222222 10.306 9.14698472812769
"109" 19.8 134.74 27.2708333333333 11.08225 13.1100145582126
"110" 19.4 132.29 29.5486111111111 11.36275 11.9773763019662
"111" 21.7 131.95 27.7777777777778 11.9445 11.2713326366472
"112" 22.8 137.15 25.8055555555556 11.69375 12.1625055865152
"113" 18.8 129.13 30.0069444444444 10.8835 13.2215407927656
"114" 18.7 130.92 30.6180555555556 11.37 13.2859912519966
"115" 18.5 132.54 26.0069444444444 10.64125 7.26988666222743
"116" 18.3 129.28 29.6944444444444 11.15775 12.5016075055797
"117" 21.2 131.76 27.1111111111111 11.82525 13.4801162253611
"118" 19.2 130.21 25.9027777777778 11.8685 11.6996058931869
"119" 20.4 128.72 29.4236111111111 11.19375 13.5515672038559
"120" 19.3 127.31 28.2013888888889 11.898 10.4982305685996
"121" 22 128.7 28.7291666666667 10.64425 13.0706922858925
"122" 20.3 130.04 28.6597222222222 10.4935 16.141091104146
"123" 20.5 129.61 31.2013888888889 10.21725 10.831572953176
"124" 17.3 128.56 36.3958333333333 9.861 15.6476561849638
"125" 18.8 128.79 30.9583333333333 10.01575 8.76419196708021
"126" 21.4 129.86 29.0347222222222 9.98225 13.3563559934828
"127" 15.7 126.13 37.6805555555556 9.393 13.4132958445565
"128" 16.2 126.93 30.6875 9.47075 8.18081201779644
"129" 18 134.31 29.4375 9.53125 9.7804407281819
"130" 14.3 126.37 31.4861111111111 9.94975 11.7640208658622
"131" 19.2 134.58 27.5 10.29625 11.327263289805
"132" 19.6 133.26 27.2638888888889 10.6775 8.75328415034487
"133" 23 133.72 26.4722222222222 10.8185 14.594509226461
"134" 18.4 128.22 29.1875 11.17475 9.24009927627049
"135" 15.6 127.57 30.7708333333333 10.865 12.745727951021
"136" 18.1 133.35 30.5277777777778 10.27675 11.4924109342226
"137" 17.4 129.42 30.4861111111111 9.91725 8.67406029647311
"138" 17.1 134.54 28.8819444444444 9.6245 15.7911347551159
"139" 13.3 128.57 33.5555555555556 9.1715 11.8870627988696
"140" 17.8 131.51 31.5694444444444 9.17175 5.71890212205589
"141" 14 131.74 35.5277777777778 9.02975 8.75863373700384
"142" 14.4 120.19 42.6458333333333 8.5985 13.8121265625993
"143" 13.4 124.03 37.375 8.304 6.32548049970911
"144" 15.6 124.68 37.0972222222222 8.5295 16.0424378918138
"145" 11.8 119.03 39.0902777777778 8.36475 10.6158995034938
"146" 13.8 131.3 38.0555555555556 8.54775 13.6519576647743
"147" 15.6 126.28 30.3125 8.7915 10.7880582517174
"148" 14.6 119.26 39.2569444444444 8.652 14.7794426518824
"149" 17.8 121.86 38.4166666666667 8.824 11.0340646074259
"150" 15.4 125.97 33.6458333333333 8.81425 11.0334986168078
"151" 21.5 131.22 28.5416666666667 9.045 16.0578514932733
"152" 19.6 124.04 27.9722222222222 8.979 11.1821918111817
"153" 15.3 120.12 27.1666666666667 9.0255 17.9250582825164
"154" 19.4 127.09 29.7152777777778 9.058 13.4524949805694
"155" 17 131.29 29.25 9.3735 14.8288386198682
"156" 15.6 131.52 29.1805555555556 9.36375 14.4584626369446
"157" 13.1 122.72 29.9583333333333 9.341 11.4427073503321
"158" 41.3 139.43 21.9375 9.69325 12.4784451485135
"159" 24.3 130.66 23.2152777777778 9.39325 11.6529956906685
"160" 23.3 135.1 23.8819444444444 9.41475 8.91675942924749
"161" 27 132.5 22.5694444444444 9.496 9.3912579099322
"162" 50 144.89 19.9513888888889 9.92725 8.15211839586084
"163" 50 148.02 20.0833333333333 10.10175 13.8105334464907
"164" 50 153.75 21.0555555555556 10.405 12.6224821290116
"165" 22.7 128.54 26.8333333333333 11.055 7.05180073191275
"166" 25 131.01 25.5625 10.7085 12.0309376795133
"167" 50 149.29 21.3194444444444 10.11475 13.6423861750649
"168" 23.8 128.77 27.1805555555556 11.06475 12.9251642140443
"169" 23.8 133.19 26.4583333333333 10.25 16.6654930135009
"170" 22.3 134.02 26.6111111111111 10.65625 16.6755653205055
"171" 17.4 128.75 28.7708333333333 11.06475 10.9753839737459
"172" 19.1 128.8 27.1041666666667 10.97175 17.1473898279032
"173" 23.1 125.72 28.9513888888889 11.49025 10.1886123077437
"174" 23.6 134.16 25.0277777777778 11.61575 13.1540761244459
"175" 22.6 128.59 25.4444444444444 11.75475 12.4585753236161
"176" 29.4 135.46 22.4513888888889 12.83075 10.3192608845118
"177" 23.2 130.2 25.7708333333333 13.88725 9.11133514476822
"178" 24.6 133.15 23.1180555555556 13.29375 15.3119456285719
"179" 29.9 138.6 23.5555555555556 12.28825 8.2903270309882
"180" 37.2 139.8 22.25 12.0725 13.4601954505244
"181" 39.8 147.65 24 11.8525 9.2067338099531
"182" 36.2 131.44 25.3125 11.49475 9.5714998628802
"183" 37.9 141.55 22.0972222222222 11.7515 13.0850748853492
"184" 32.5 135.63 22.6944444444444 12.1175 15.1819626405969
"185" 26.4 126.04 28.4583333333333 12.46975 14.3718653975622
"186" 29.6 131.53 27.8819444444444 13.19925 9.6966757166855
"187" 50 148.31 21.8402777777778 12.998 11.9111713983796
"188" 32 137.82 23.3888888888889 14.4715 11.4178755278998
"189" 29.8 135.56 21.9166666666667 16.41675 16.5034115763846
